Name,Sentence,Keywords
Anya Forger,"They create a ""pretend family"", staying together in unconventional circumstances for their ulterior motives and secrets","create, pretend, family"
Anya Forger,"Loid Forger, whose real identity is the Westalian master spy Code name Twilight, adopts an orphan Telepathy#Thought reading girl named Anya and marries an Ostanian professional assassin Yor Briar; later, they adopt Bond, a precognition dog, into their care. The Forger family members, for the most part, are not aware of each others' secrets, but they accept the falsehood of their union","forger, loid, whose"
Anya Forger,"They willingly love and care for each other. The supporting cast includes their friends, relatives, colleagues, allies, and enemies.","spy, family, ref"
Anya Forger,"Although he appears manipulative and pragmatic when accomplishing his missions, he slowly reveals his soft side to his family, and as time passes, he grows to care for them genuinely, although he outwardly does not admit it.","although, gnr, appears"
Anya Forger,"He lost his mother and close friends when the war started, his father's whereabouts are unknown","lost, mother, close"
Anya Forger,"He enlisted to the army and was recruited by Westalian Intelligence Agency to be trained in espionage under Sylvia Sherwood. At some point during his espionage career, he trained Nightfall and instilled her perfectionist and emotionless personality, which has lasted until now.","ref, date, anya"
Anya Forger,Anya frequently and secretly lends a support to her parents with their missions.,"anya, frequently, secretly"
Anya Forger,"Because of an altercation with Damian during orientation day, she has been shunned by the whole class but has found a friendship in Becky Blackbell. She is unaware of Damian's feelings toward her and does not have a favorable impression of him, but still tries to make friends with Damian as her father wishes. Thus far, she has received 3 Stella and 3 Tonitrus, much to Loid's dismay about the latter.","damian, gnr, subject"
Anya Forger,"""Test Subject 007""}}. She claimed to be six, although per Loid's assessment, she appears to be around age four or five","title, spy, family"
Anya Forger,"The only confirmed details of her past are her name, ""Anya"" and that she had been adopted by several families, only to be returned to the orphanages each time. Although she displays significant control in her mind-reading power, Anya cannot use it during a new moon or on numerous people's minds simultaneously. Due to the trauma when she was a test subject, she is not good at studying and usually refuses to do so, relying on her mind-reading ability to copy from others, although she appears to be talented in Classic Literature.{{efnLiterature is a fictional language in the series","anya, gnr, although"
Anya Forger,It is written in Japan as {{nihongo,"written, japan, nihongo"
Anya Forger,"""Ancient Language""}}; in the anime, it is written as ""Ancient Language""","ancient, language, anime"
Anya Forger,It is equivalent to Latin in the real world.}} She is quite flexible and quick-witted for a child her age,"title, spy, family"
Anya Forger,"She also displays her bravery from time to time, such as saving a drowning child, standing up for her friends, and alerting Loid of a bomb trap, despite the danger to herself.","nihongo, thorn, princess"
Anya Forger,"She agrees to a fake marriage without knowing Loid's true background, as unmarried young women are suspected of being spies. She believes Loid's lie that Anya is Loid's biological daughter from a previous marriage and accepts the roles of Anya's step mother. In her everyday life, Yor is soft, caring, formally spoken and considerate to others but sometimes hindered by her airhead and absent-minded natures. Because of this, as well as her lack of communication and social skills, she has difficulties adjusting to the norm and thus is a frequent target of her coworker's bullying. Despite all that, she always strives to be a good wife and mother for the Forgers.","gnr, loid, marriage"
Anya Forger,"She raised her younger brother Yuri by herself, and became an assassin for the assassin group Garden at a young age to earn a living for the both of them. Neither she nor her brother are aware of each other's true jobs. Recently, she met Melinda Desmond, Loid's target's wife, and was invited to join her circle of friends, ""The Lady Patriot Society"".","gnr, brother, assassin"
Anya Forger,"Her weapons of choice are needle-like stilettos; they are long, have no guard, and have a ring Pommel (sword), resembling a kunai. Yor is not good with basic household chores, particularly cooking; her homemade meals are bad to the point of being poisonous. Despite being seemingly immune to poison and her own cooking, she gets drunk easily with a small amount of alcohol.","ref, title, family"
Anya Forger,"""Experimental Subject no","experimental, subject"
Anya Forger,"8""}}. He can Precognition, a fact which is known and utilized only by Anya through her telepathy. He meets Anya and the Forger family when he was used in a terrorist bomb attack","family, gnr, ref"
Anya Forger,"Thanks to his ability he made contact and protected Anya, unknowingly saving Loid's life","thanks, ability, made"
Anya Forger,"He later was adopted by the Forgers and was named Bond by Anya, after Anya's favorite cartoon character in ''Spy Wars'', Bondman.","gnr, anya, eden"
Anya Forger,"While other English media use ""Eden College""","english, media, use"
Anya Forger,The original texts in Japanese uses both {{nihongoK,"original, texts, japanese"
Anya Forger,"""Eden Academy""}} and {{nihongoKarejji","eden, academy, nihongo"
Anya Forger,"""Eden College""}}.}} is a highly prestigious private school located in Berlint, Ostania","eden, college, ref"
Anya Forger,"The academy provides top-class education for a student body of approximately 2500 students, from age 6 to 19, covers from academic subjects, to sports and fine arts","academy, provides, top"
Anya Forger,"The admission process is notoriously harsh, requiring applicants to pass both a difficult writing exam and a formal family interview","admission, process, notoriously"
Anya Forger,"Once enrolled, students are put into one of their eight houses,{{efnthe Viz Media English translation, ""houses"" are translated as ""Hall"" in the name, e.g","houses, viz, enrolled"
Anya Forger,"In the original Japanese texts, it is written as {{nihongo","original, japanese, texts"
Anya Forger,"""Class""}} (in place of ""house"") and {{nihongo","class, place, house"
Anya Forger,"""Dormitory""}} (in place of ""Hall"", in ""Cecil Hall"").}} and are given the choices to either stay in their expensive house dormitories or commute from home","hall, dormitory, place"
Anya Forger,Eden students are awarded with a lit,"stella, eden, students"
Anya Forger,"""Star""}} for distinctive academic or social achievements, but may also be punished with a for ''Tonitrus'', lit","tonitrus, star, distinctive"
Anya Forger,"""Thunderbolt""}} for transgressions or failing tests","thunderbolt, transgressions, failing"
Anya Forger,"A student who obtains eight Stella Stars becomes a member of Eden Academy's elite students called | Inperiaru Sukar}}, receiving preferential treatments and privileges, while those punished with eight Tonitrus Bolts are automatically expelled.","ref, 2022, spy"
Anya Forger,"Loid wants to get close to his father through him and has been pushing Anya into becoming friends with Damian. Since his father has an overwhelming authority, Damian works hard to gain his father's attention and approval. He is diligent in his studies, and excels in History, which is shown when he earns a Stella Star in the History midterm exam by placing 2nd in his grade. He was formerly hostile and arrogant toward Anya but has gradually changed and developed feelings for her, thanks to her persistent effort of befriending and helping him. After the bus hijack incident, Damian was rewarded his second Stella Star for his display of bravery when he attempted to take Anya's place as the bomb-collared hostage.","gnr, damian, father"
